#{"t_start": 1583332213.056079, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-666.819468,211,3.425468
-165.247852,55,3.465571
-569.928434,63,3.813362
-659.228671,162,4.245521
-353.150776,135,4.927658
-497.384315,84,5.268244
-925.053082,108,5.659516
-1026.439681,97,6.034272
-810.68824,68,6.107254
-527.915589,110,6.600322
-889.244143,86,6.965695
-1193.470357,108,7.364244
-652.489493,78,7.712677
-409.334852,83,8.056214
-937.590679,87,8.408132
-486.233188,81,8.746695
-441.909602,54,8.795756
-237.557853,69,9.11265
-758.753602,75,9.471998
-707.983636,78,9.54533
-635.787562,68,9.898028
-532.112895,70,10.333469
-689.390131,75,10.70016
-825.355387,202,11.510808
-1052.809963,85,11.603941
-877.436858,98,11.973183
-641.985765,67,12.328568
-826.084658,71,12.682717
-1136.945595,96,13.052471
-240.097977,120,13.440519
-978.707675,92,13.801749
-999.839178,85,14.201846
-966.079054,83,14.557088
-375.71214,112,14.953498
-616.929453,64,15.010623
-685.338736,73,15.350926
-894.147849,89,15.707979
-562.730646,67,16.038184
-614.994075,125,16.437864
-818.658971,89,16.792698
-744.828738,83,17.148399
-941.470987,88,17.232748
-470.75748,70,17.569924
-535.429569,76,17.977025
-595.748454,125,18.370318
-548.425814,67,18.704146
-605.269134,67,18.763642
-1283.882078,112,19.427955
-1236.948267,138,19.865526
-762.284995,77,20.213674
-474.545719,53,20.26068
-668.547474,73,20.599793
-720.993458,73,20.945231
-431.608998,65,21.005334
-821.534169,87,21.365076
-488.084229,75,21.778904
-362.488332,84,22.132086
-907.462613,90,22.500793
-850.8487,79,22.83831
-650.243052,79,22.916589
-454.693473,64,23.259066
-1068.420238,98,23.628508
-814.909074,80,23.973195
-659.269795,69,24.036355
-451.383273,51,24.35087
-779.5854,76,24.691967
-639.358722,74,24.76053
-579.985804,78,25.107536
-762.448933,86,25.510917
-675.410173,73,25.844637
-546.72877,59,25.897835
-614.173772,92,26.276656
-894.237938,90,26.641423
-791.084399,82,26.990376
-505.78439,56,27.3153
-803.038411,76,27.393789
-828.694242,83,27.739986
-918.518925,84,28.090849
-700.955748,82,28.448239
-563.339731,64,28.779758
-540.2151,71,28.848327
-791.088944,87,29.279198
-929.10932,94,29.646777
-778.12319,85,29.99582
-1041.569021,89,30.349899
-752.697172,76,30.694011
-510.396166,64,30.762792
-941.224069,92,31.121078
-507.965487,55,31.444761
-501.719907,65,31.505209
-706.620761,76,31.840946
-520.222821,75,32.183488
-512.639462,79,32.536817
-770.559439,83,32.619222
-798.191749,82,33.046406
-716.602756,74,33.394686
-838.930637,88,33.757692
-261.839514,100,34.119637
-225.455045,184,34.854876
-554.676551,109,35.228643
-640.077447,83,35.593715
-302.302606,452,37.417048
-410.001493,93,37.773124
-227.968316,154,38.497329
-259.812881,107,38.866179
-241.605636,121,39.264943
-419.660523,188,40.029351
-186.482167,203,41.006273
-482.204844,196,41.795863
-85.855125,71,41.859252
-159.716904,142,42.543594
-283.981264,160,42.980325
-148.141298,317,44.55759
-209.265688,82,44.625711
-152.930984,90,45.002772
-159.033277,166,45.721177
-105.768035,129,46.10614
-192.499744,170,46.840558
-155.755201,162,47.57107
